Title,Genre
 (2023) შეუსრულებელი მისია 7: სასიკვდილო შურისძიება - Mission: Impossible - Dead Reckoning Part One,"მძაფრ-სიუჟეტიანი, ფანტასტიკა, ტრილერი"
 (2023) დაწყევლილი სასახლე - Haunted Mansion,"საშინელება, კომედია, საბავშვო"
 (2023) გრან ტურიზმო - Gran Turismo,"დრამა, მძაფრ-სიუჟეტიანი"
 (2023) მარეგულირებელი 3 - The Equalizer 3,"მძაფრ-სიუჟეტიანი, ტრილერი, კრიმინალური, რჩეული ჯანრში"
 (2023) ბარბი - Barbie,"სათავგადასავლო, კომედია, ფენტეზი"
 (2023) ელემენტები - Elemental,"ანიმაციური , სათავგადასავლო, კომედია"
 (2023) მეგა 2: ფსკერზე - Meg 2: The Trench,"მძაფრ-სიუჟეტიანი, სათავგადასავლო, საშინელება"
 (2023) ფლეში - The Flash,"მძაფრ-სიუჟეტიანი, სათავგადასავლო, ფანტასტიკა"
 (2023) გალაქტიკის მცველები: ნაწილი 3 - Guardians of the Galaxy Vol. 3,"მძაფრ-სიუჟეტიანი, სათავგადასავლო, კომედია"
 (2023) ეარი - Air,"დრამა, სპორტული"
 (2023) პაპის ეგზორცისტი - The Pope's Exorcist,"საშინელება, ტრილერი"
 (2023) ასტერიქსი და ობელიქსი: შუა სამეფო - Asterix & Obelix: The Middle Kingdom,"მძაფრ-სიუჟეტიანი, კომედია, საბავშვო"
 (2023) შეთანხმება - The Covenant,"მძაფრ-სიუჟეტიანი, ტრილერი, საომარი"
 (2022) სუზუმეს კარის საკეტი - Suzume,"ანიმაციური , მძაფრ-სიუჟეტიანი, სათავგადასავლო"
 (2022) სისუ - Sisu,"მძაფრ-სიუჟეტიანი, საომარი"
 (2023) ჯონ უიკი 4 - John Wick: Chapter 4,"მძაფრ-სიუჟეტიანი, ტრილერი, კრიმინალური"
 (2023) დახსნა 2 - Extraction 2,"მძაფრ-სიუჟეტიანი, ტრილერი"
 (2023) მიტოვებული - Ghosted,"მძაფრ-სიუჟეტიანი, სათავგადასავლო, კომედია"
